LOT_ID,OPE_NO,EP,QTY,R_QT,ARRIV_T,STAGE,URGENT_W,RECIPE,CANRUN_TOOL,FOUP,,A,B,C,D,E,F,G,H,I,J
LOT001,2000.011,1,8,999,300,STAGE,0.5,Y8000,EQP003EQP004EQP005EQP006EQP008EQP009,FOUP0001,,0,0,3,4,5,6,0,8,9,0
LOT002,2000.011,2,25,9.2,0,STAGE,7,Y5000,EQP001EQP004EQP005EQP007EQP008EQP010,FOUP0002,,1,0,0,4,5,0,7,8,0,10
LOT003,2000.011,3,22,10.8,0,STAGE,1,Z3000,EQP001EQP003EQP007EQP009EQP010,FOUP0003,,1,0,3,0,0,0,7,0,9,10
LOT004,2000.011,4,25,3.3,0,STAGE,10,Y2000,EQP001EQP002EQP003EQP004EQP008EQP009EQP010,FOUP0004,,1,2,3,4,0,0,0,8,9,10
LOT005,2000.011,5,11,999,360,STAGE,0.5,Z3000,EQP001EQP002EQP006EQP007EQP008EQP009,FOUP0005,,1,2,0,0,0,6,7,8,9,0
LOT006,2000.011,6,25,10.4,0,STAGE,2,Y2000,EQP002EQP003EQP004EQP010,FOUP0006,,0,2,3,4,0,0,0,0,0,10
LOT007,2000.011,7,25,10.6,0,STAGE,1,X0000,EQP001EQP002EQP003EQP004EQP008EQP009EQP010,FOUP0007,,1,2,3,4,0,0,0,8,9,10
LOT008,2000.011,8,25,10.8,0,STAGE,10,Z9000,EQP001EQP005EQP006EQP008,FOUP0008,,1,0,0,0,5,6,0,8,0,0
LOT009,2000.011,9,15,999,240,STAGE,0.5,X7000,EQP001EQP002EQP003EQP004EQP007EQP008EQP009,FOUP0009,,1,2,3,4,0,0,7,8,9,0
LOT010,2000.011,10,15,9.3,0,STAGE,1,Z6000,EQP001EQP002EQP004EQP006EQP008EQP010,FOUP0010,,1,2,0,4,0,6,0,8,0,10
LOT011,2000.011,11,9,999,360,STAGE,0.5,Z3000,EQP004EQP006EQP009,FOUP0011,,0,0,0,4,0,6,0,0,9,0
LOT012,2000.011,12,20,1.7,0,STAGE,7,Y2000,EQP001EQP008EQP010,FOUP0012,,1,0,0,0,0,0,0,8,0,10
LOT013,2000.011,13,4,2.1,0,STAGE,1,X4000,EQP001EQP004EQP005EQP006EQP008EQP010,FOUP0013,,1,0,0,4,5,6,0,8,0,10
LOT014,2000.011,14,25,11.5,0,STAGE,3,X4000,EQP001EQP002EQP006EQP009,FOUP0014,,1,2,0,0,0,6,0,0,9,0
LOT015,2000.011,15,25,999,180,STAGE,0.5,X1000,EQP001EQP002EQP003EQP004EQP005,FOUP0015,,1,2,3,4,5,0,0,0,0,0
LOT016,2000.011,16,12,999,180,STAGE,0.5,Z3000,EQP001EQP005EQP006EQP008EQP009,FOUP0016,,1,0,0,0,5,6,0,8,9,0
LOT017,2000.011,17,25,0.4,0,STAGE,9,X7000,EQP003EQP005EQP007EQP008EQP010,FOUP0017,,0,0,3,0,5,0,7,8,0,10
LOT018,2000.011,18,25,999,120,STAGE,0.5,Y2000,EQP001EQP003EQP005EQP008EQP009,FOUP0018,,1,0,3,0,5,0,0,8,9,0
LOT019,2000.011,19,25,5.9,0,STAGE,6,X1000,EQP001EQP003EQP005EQP006EQP009,FOUP0019,,1,0,3,0,5,6,0,0,9,0
LOT020,2000.011,20,2,6.5,0,STAGE,4,Y8000,EQP001EQP005EQP009EQP010,FOUP0020,,1,0,0,0,5,0,0,0,9,10
LOT021,2000.011,21,12,4.7,0,STAGE,5,X4000,EQP001EQP002EQP004EQP005EQP006EQP007EQP010,FOUP0021,,1,2,0,4,5,6,7,0,0,10
LOT022,2000.011,22,19,999,300,STAGE,0.5,Y5000,EQP001EQP002EQP004EQP006EQP008EQP010,FOUP0022,,1,2,0,4,0,6,0,8,0,10
LOT023,2000.011,23,7,3.4,0,STAGE,1,Y5000,EQP001EQP004EQP009,FOUP0023,,1,0,0,4,0,0,0,0,9,0
LOT024,2000.011,24,25,999,240,STAGE,0.5,X4000,EQP001EQP002EQP003EQP005EQP006EQP010,FOUP0024,,1,2,3,0,5,6,0,0,0,10
LOT025,2000.011,25,10,999,60,STAGE,0.5,Y5000,EQP001EQP002EQP004EQP007EQP008,FOUP0025,,1,2,0,4,0,0,7,8,0,0
LOT026,2000.011,26,25,999,360,STAGE,0.5,X7000,EQP001EQP005EQP006EQP009EQP010,FOUP0026,,1,0,0,0,5,6,0,0,9,10
